,spam,to_multiple,from,cc,sent_email,image,attach,dollar,winner,inherit,password,num_char,line_breaks,format,re_subj,exclaim_subj,urgent_subj,exclaim_mess,number
1,0,no,yes,no,no,no,no,no,no,no,no,1137,202,HTML,no,no,no,0,big
2,0,no,yes,no,no,no,no,no,no,no,no,10504,202,HTML,no,no,no,1,small
3,0,no,yes,no,no,no,no,yes,no,yes,no,7773,192,HTML,no,no,no,6,small
4,0,no,yes,no,no,no,no,no,no,no,no,13256,255,HTML,no,no,no,48,small
5,0,no,yes,no,no,no,no,no,no,no,yes,1231,29,Plain,no,no,no,1,none
6,0,no,yes,no,no,no,no,no,no,no,yes,1091,25,Plain,no,no,no,1,none
7,0,yes,yes,no,yes,no,no,no,no,no,no,4837,193,HTML,no,no,no,1,big
8,0,yes,yes,yes,yes,yes,yes,no,no,no,no,7421,237,HTML,no,no,no,18,small
9,0,no,yes,no,no,no,no,no,no,no,no,3051,69,Plain,no,no,no,1,small
10,0,no,yes,no,no,no,no,no,no,no,no,2643,68,HTML,no,no,no,0,small
11,0,no,yes,no,yes,no,no,no,no,no,no,869,25,HTML,no,no,no,2,small
12,0,no,yes,yes,no,no,no,no,no,no,no,402,79,Plain,yes,no,no,1,small
13,0,no,yes,no,no,no,no,no,no,no,no,10459,191,HTML,no,no,no,0,big
14,0,no,yes,yes,yes,no,no,no,no,no,no,15075,354,HTML,yes,no,no,10,small
15,0,no,yes,yes,no,no,no,yes,no,no,no,19693,330,HTML,yes,no,no,4,big
16,0,no,yes,yes,yes,no,no,no,no,no,no,1838,481,HTML,yes,no,no,10,small
17,0,no,yes,no,no,no,no,yes,no,no,yes,18037,345,HTML,no,yes,no,20,small
18,0,no,yes,yes,no,no,no,no,no,no,no,1389,225,HTML,yes,no,no,0,small
19,0,no,yes,no,yes,no,no,no,no,no,no,596,33,Plain,yes,no,no,2,small
20,0,no,yes,no,no,no,no,no,no,no,no,456,64,HTML,no,no,no,0,none
21,0,no,yes,no,no,no,no,no,no,no,no,2192,85,HTML,no,no,no,3,big
22,0,no,yes,no,no,yes,yes,yes,no,no,no,11453,344,HTML,no,no,no,4,big
23,0,no,yes,no,no,no,no,yes,no,no,no,16647,560,HTML,no,no,no,3,small
24,0,no,yes,no,yes,no,no,no,no,no,no,2,10,Plain,yes,no,no,0,small
25,0,no,yes,no,no,no,no,no,no,no,no,4938,69,HTML,no,no,no,0,none
26,0,no,yes,no,no,no,no,no,no,no,no,2228,45,Plain,yes,no,no,1,small
27,0,no,yes,yes,no,no,no,no,no,no,no,3959,81,Plain,yes,no,no,1,small
28,0,no,yes,yes,no,no,no,no,no,no,no,4549,67,Plain,yes,no,no,1,small
29,0,no,yes,no,no,no,no,no,no,no,no,506,18,Plain,no,no,no,0,none
30,0,no,yes,no,no,no,no,no,no,no,no,2207,57,HTML,no,no,no,5,small
31,0,no,yes,yes,yes,no,yes,no,no,no,no,235,17,Plain,no,no,no,0,none
32,0,yes,yes,yes,no,no,no,no,no,no,no,7813,97,Plain,yes,no,no,1,small
33,0,yes,yes,yes,no,no,no,no,no,no,no,10614,118,Plain,yes,no,no,1,small
34,0,yes,yes,yes,no,no,no,no,no,no,no,31644,569,HTML,yes,no,no,2,big
35,0,no,yes,no,no,no,no,no,no,no,no,1566,39,Plain,yes,no,no,3,small
36,0,no,yes,yes,no,no,no,no,no,no,no,45842,881,HTML,yes,no,no,5,big
37,0,no,yes,no,no,no,no,no,no,no,no,2317,30,Plain,no,no,no,0,big
38,0,yes,yes,yes,no,no,no,no,no,no,no,13788,169,Plain,yes,no,no,3,small
39,0,yes,yes,no,no,no,no,no,no,no,no,2196,57,HTML,yes,no,no,1,small
40,0,no,yes,yes,no,no,no,no,no,no,no,11438,125,Plain,yes,no,no,2,small
41,0,no,yes,yes,no,no,no,no,no,no,no,12268,259,Plain,yes,no,no,2,small
42,0,no,yes,no,no,no,no,no,no,no,no,1541,51,Plain,no,no,no,3,small
43,0,yes,yes,yes,no,no,no,no,no,yes,no,33451,558,HTML,yes,no,no,6,big
44,0,no,yes,yes,no,no,no,no,no,no,no,13266,269,Plain,yes,no,no,2,small
45,0,no,yes,yes,no,no,no,no,no,no,no,334,9,Plain,yes,no,no,0,small
46,0,yes,yes,no,yes,no,no,yes,no,no,no,45966,1231,HTML,yes,yes,no,29,small
47,0,yes,yes,yes,no,no,no,no,no,no,no,8718,185,Plain,yes,no,no,3,small
48,0,no,yes,no,no,no,no,no,no,no,no,1482,24,HTML,no,no,no,0,none
49,0,no,yes,no,no,no,no,no,no,no,no,8549,154,HTML,no,no,no,4,small
50,0,no,yes,no,no,no,no,no,no,no,no,14431,296,HTML,no,no,no,0,small
51,0,no,yes,no,no,no,no,yes,no,no,no,24167,417,HTML,no,yes,no,32,small
52,0,no,yes,no,no,no,no,no,no,no,yes,1143,13,Plain,no,no,no,1,none
53,0,no,yes,no,no,no,no,yes,no,no,no,15517,350,HTML,no,yes,no,2,small
54,0,no,yes,no,yes,no,no,yes,no,no,no,9535,182,HTML,yes,no,no,4,small
55,0,no,yes,no,yes,no,no,yes,no,no,no,14241,308,HTML,yes,no,no,6,small
56,0,no,yes,no,no,no,no,yes,no,no,no,978,13,Plain,no,no,no,0,small
57,0,no,yes,no,no,no,no,no,no,no,no,7472,207,HTML,no,no,no,0,big
58,0,no,yes,no,yes,no,no,no,no,no,no,1398,41,Plain,no,no,no,1,none
59,0,no,yes,no,no,no,no,yes,no,yes,no,7792,192,HTML,no,no,no,6,small
60,0,no,yes,no,no,no,no,no,no,no,yes,978,14,Plain,no,no,no,0,small
61,0,no,yes,no,no,no,no,no,no,no,no,1009,166,HTML,no,no,no,1,small
62,0,yes,yes,no,no,no,no,no,no,no,no,5159,95,Plain,no,no,no,0,small
63,0,no,yes,no,no,no,no,yes,no,no,no,29981,555,HTML,no,no,no,15,small
64,0,no,yes,no,no,no,no,yes,no,no,no,18945,249,HTML,no,yes,no,16,small
65,0,no,yes,no,yes,no,no,no,no,no,no,1542,595,HTML,no,no,no,9,big
66,0,yes,yes,no,no,no,no,no,no,no,no,2018,32,Plain,yes,no,no,0,small
67,0,no,yes,no,yes,no,no,no,no,no,no,988,25,HTML,no,no,no,2,small
68,0,no,yes,no,yes,no,no,no,no,no,no,159,11,Plain,yes,no,no,0,small
69,0,no,yes,no,yes,no,no,no,no,no,no,2828,80,HTML,yes,no,no,4,small
70,0,no,yes,no,no,no,no,yes,no,no,no,22393,411,HTML,no,no,no,49,small
71,0,no,yes,no,no,no,no,yes,no,no,no,7844,142,HTML,no,yes,no,6,small
72,0,yes,yes,no,yes,no,no,no,yes,no,no,477,134,HTML,yes,no,no,10,small
73,0,no,yes,no,no,no,no,no,no,no,no,795,30,Plain,no,no,no,1,none
74,0,no,yes,yes,no,no,no,no,no,no,no,829,22,Plain,no,no,no,0,small
75,0,no,yes,no,yes,no,no,no,no,no,no,432,13,HTML,no,no,no,0,small
